ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
4.178074132235530189e-03,-8.908039349098642492e-05,-6.380766064991957145e-09
4.178074132235431309e-03,-8.953257822935898897e-05,-6.445724512350032506e-09
4.178074132235329828e-03,-8.998476296774679962e-05,-6.511012698019451960e-09
4.178074132235226612e-03,-9.043694770614833897e-05,-6.576630622000227086e-09
4.178074132235122529e-03,-9.088913244456222468e-05,-6.642578284292366984e-09
4.178074132235016711e-03,-9.134131718298723701e-05,-6.708855684895879097e-09
4.178074132234909158e-03,-9.179350192142225111e-05,-6.775462823810774180e-09
4.178074132234799870e-03,-9.224568665986630474e-05,-6.842399701037059676e-09
4.178074132234689715e-03,-9.269787139831846279e-05,-6.909666316574738896e-09
4.178074132234576958e-03,-9.315005613677792564e-05,-6.977262670423820937e-09
4.178074132234463334e-03,-9.360224087524393437e-05,-7.045188762584309108e-09
4.178074132234347107e-03,-9.405442561371585200e-05,-7.113444593056209200e-09
4.178074132234230013e-03,-9.450661035219309577e-05,-7.182030161839523694e-09
4.178074132234111185e-03,-9.495879509067512358e-05,-7.250945468934259208e-09
4.178074132233989754e-03,-9.541097982916146110e-05,-7.320190514340418223e-09
4.178074132233868324e-03,-9.586316456765167464e-05,-7.389765298058003221e-09
4.178074132233743423e-03,-9.631534930614537118e-05,-7.459669820087015029e-09
4.178074132233617656e-03,-9.676753404464222546e-05,-7.529904080427461918e-09
4.178074132233490154e-03,-9.721971878314188511e-05,-7.600468079079340580e-09
4.178074132233360050e-03,-9.767190352164411974e-05,-7.671361816042654324e-09
4.178074132233229078e-03,-9.812408826014863120e-05,-7.742585291317406459e-09
4.178074132233096372e-03,-9.857627299865518908e-05,-7.814138504903598638e-09
4.178074132232961063e-03,-9.902845773716359011e-05,-7.886021456801230862e-09
4.178074132232823153e-03,-9.948064247567368521e-05,-7.958234147010306440e-09
4.178074132232684375e-03,-9.993282721418525754e-05,-8.030776575530820408e-09
4.178074132232543862e-03,-1.003850119526981851e-04,-8.103648742362784347e-09
4.178074132232400748e-03,-1.008371966912123595e-04,-8.176850647506189985e-09
4.178074132232257633e-03,-1.012893814297276046e-04,-8.250382290961040631e-09
4.178074132232111049e-03,-1.017415661682438390e-04,-8.324243672727339593e-09
4.178074132231962730e-03,-1.021937509067609543e-04,-8.398434792805085218e-09
4.178074132231811809e-03,-1.026459356452788556e-04,-8.472955651194279159e-09
4.178074132231659153e-03,-1.030981203837975024e-04,-8.547806247894919763e-09
4.178074132231504763e-03,-1.035503051223167454e-04,-8.622986582907011992e-09
4.178074132231347770e-03,-1.040024898608366119e-04,-8.698496656230552537e-09
4.178074132231189043e-03,-1.044546745993569934e-04,-8.774336467865541399e-09
4.178074132231029449e-03,-1.049068593378778221e-04,-8.850506017811980232e-09
4.178074132230866385e-03,-1.053590440763990980e-04,-8.927005306069869036e-09
4.178074132230701586e-03,-1.058112288149207534e-04,-9.003834332639209466e-09
4.178074132230534185e-03,-1.062634135534427341e-04,-9.080993097520001520e-09
4.178074132230365050e-03,-1.067155982919650129e-04,-9.158481600712245200e-09
4.178074132230193312e-03,-1.071677830304875899e-04,-9.236299842215937197e-09
4.178074132230020707e-03,-1.076199677690104243e-04,-9.314447822031082473e-09
4.178074132229844632e-03,-1.080721525075334621e-04,-9.392925540157676066e-09
4.178074132229666823e-03,-1.085243372460567302e-04,-9.471732996595721284e-09
4.178074132229486412e-03,-1.089765219845801475e-04,-9.550870191345221436e-09
4.178074132229304266e-03,-1.094287067231037273e-04,-9.630337124406171559e-09
4.178074132229119518e-03,-1.098808914616274834e-04,-9.710133795778571653e-09
4.178074132228932168e-03,-1.103330762001513478e-04,-9.790260205462425027e-09
4.178074132228743083e-03,-1.107852609386753207e-04,-9.870716353457728372e-09
4.178074132228551396e-03,-1.112374456771994156e-04,-9.951502239764481688e-09
4.178074132228357107e-03,-1.116896304157236053e-04,-1.003261786438268828e-08
4.178074132228161083e-03,-1.121418151542478899e-04,-1.011406322731234981e-08
4.178074132227962457e-03,-1.125939998927722287e-04,-1.019583832855345800e-08
4.178074132227761230e-03,-1.130461846312966353e-04,-1.027794316810601948e-08
4.178074132227558267e-03,-1.134983693698211096e-04,-1.036037774597003423e-08
4.178074132227351835e-03,-1.139505541083456652e-04,-1.044314206214549729e-08
4.178074132227143668e-03,-1.144027388468702480e-04,-1.052623611663241199e-08
4.178074132226932032e-03,-1.148549235853948714e-04,-1.060965990943077830e-08
4.178074132226718661e-03,-1.153071083239195490e-04,-1.069341344054059956e-08
4.178074132226502688e-03,-1.157592930624442537e-04,-1.077749670996186913e-08
4.178074132226284113e-03,-1.162114778009689991e-04,-1.086190971769459032e-08
4.178074132226062935e-03,-1.166636625394937716e-04,-1.094665246373876314e-08
4.178074132225839156e-03,-1.171158472780185712e-04,-1.103172494809438758e-08
4.178074132225612775e-03,-1.175680320165433572e-04,-1.111712717076146035e-08
4.178074132225383791e-03,-1.180202167550681839e-04,-1.120285913173998804e-08
4.178074132225151338e-03,-1.184724014935930513e-04,-1.128892083102996405e-08
4.178074132224917150e-03,-1.189245862321178915e-04,-1.137531226863139169e-08
4.178074132224680361e-03,-1.193767709706427860e-04,-1.146203344454426930e-08
4.178074132224440969e-03,-1.198289557091676533e-04,-1.154908435876859853e-08
4.178074132224198108e-03,-1.202811404476925478e-04,-1.163646501130437774e-08
4.178074132223952644e-03,-1.207333251862174693e-04,-1.172417540215160691e-08
4.178074132223705446e-03,-1.211855099247423909e-04,-1.181221553131028771e-08
4.178074132223453911e-03,-1.216376946632672989e-04,-1.190058539878041848e-08
4.178074132223201509e-03,-1.220898794017922205e-04,-1.198928500456199923e-08
4.178074132222944770e-03,-1.225420641403171692e-04,-1.207831434865502994e-08
4.178074132222685429e-03,-1.229942488788421178e-04,-1.216767343105951063e-08
4.178074132222422618e-03,-1.234464336173670394e-04,-1.225736225177544128e-08
4.178074132222158073e-03,-1.238986183558919609e-04,-1.234738081080282356e-08
4.178074132221889191e-03,-1.243508030944169367e-04,-1.243772910814165251e-08
4.178074132221618574e-03,-1.248029878329418854e-04,-1.252840714379192977e-08
4.178074132221345355e-03,-1.252551725714668069e-04,-1.261941491775366196e-08
4.178074132221067799e-03,-1.257073573099917827e-04,-1.271075243002683916e-08
4.178074132220788509e-03,-1.261595420485167585e-04,-1.280241968061146799e-08
4.178074132220505749e-03,-1.266117267870416800e-04,-1.289441666950754348e-08
4.178074132220219519e-03,-1.270639115255666016e-04,-1.298674339671507059e-08
4.178074132219930688e-03,-1.275160962640915774e-04,-1.307939986223404602e-08
4.178074132219638387e-03,-1.279682810026165261e-04,-1.317238606606446812e-08
4.178074132219343484e-03,-1.284204657411414476e-04,-1.326570200820634183e-08
4.178074132219044244e-03,-1.288726504796664234e-04,-1.335934768865966056e-08
4.178074132218743270e-03,-1.293248352181913721e-04,-1.345332310742443257e-08
4.178074132218437958e-03,-1.297770199567163207e-04,-1.354762826450064627e-08
4.178074132218130912e-03,-1.302292046952412152e-04,-1.364226315988831657e-08
4.178074132217819529e-03,-1.306813894337661638e-04,-1.373722779358742856e-08
4.178074132217504677e-03,-1.311335741722911125e-04,-1.383252216559799218e-08
4.178074132217187223e-03,-1.315857589108160612e-04,-1.392814627592000246e-08
4.178074132216866299e-03,-1.320379436493409827e-04,-1.402410012455346271e-08
4.178074132216541905e-03,-1.324901283878658772e-04,-1.412038371149836631e-08
4.178074132216214910e-03,-1.329423131263907988e-04,-1.421699703675471824e-08
4.178074132215883578e-03,-1.333944978649157203e-04,-1.431394010032251847e-08
4.178074132215548776e-03,-1.338466826034406419e-04,-1.441121290220176703e-08
4.178074132215210505e-03,-1.342988673419655634e-04,-1.450881544239246059e-08
4.178074132214869632e-03,-1.347510520804904579e-04,-1.460674772089460082e-08
4.178074132214525289e-03,-1.352032368190153524e-04,-1.470500973770819101e-08
4.178074132214177477e-03,-1.356554215575402468e-04,-1.480360149283322291e-08
4.178074132213825329e-03,-1.361076062960651684e-04,-1.490252298626970643e-08
4.178074132213469710e-03,-1.365597910345900628e-04,-1.500177421801763661e-08
4.178074132213112357e-03,-1.370119757731149302e-04,-1.510135518807700684e-08
4.178074132212749800e-03,-1.374641605116398246e-04,-1.520126589644782703e-08
4.178074132212383773e-03,-1.379163452501646920e-04,-1.530150634313009389e-08
4.178074132212014277e-03,-1.383685299886895865e-04,-1.540207652812380411e-08
4.178074132211640444e-03,-1.388207147272144809e-04,-1.550297645142896098e-08
4.178074132211264009e-03,-1.392728994657393483e-04,-1.560420611304556452e-08
4.178074132210883238e-03,-1.397250842042642427e-04,-1.570576551297361141e-08
4.178074132210498996e-03,-1.401772689427890830e-04,-1.580765465121310497e-08
4.178074132210110418e-03,-1.406294536813139774e-04,-1.590987352776404188e-08
4.178074132209719238e-03,-1.410816384198388177e-04,-1.601242214262642875e-08
4.178074132209324588e-03,-1.415338231583636850e-04,-1.611530049580025568e-08
4.178074132208924735e-03,-1.419860078968885253e-04,-1.621850858728552265e-08
4.178074132208521412e-03,-1.424381926354133926e-04,-1.632204641708224289e-08
4.178074132208114619e-03,-1.428903773739382329e-04,-1.642591398519040319e-08
4.178074132207702622e-03,-1.433425621124630731e-04,-1.653011129161000683e-08
4.178074132207288023e-03,-1.437947468509879405e-04,-1.663463833634106045e-08
4.178074132206869955e-03,-1.442469315895127536e-04,-1.673949511938355080e-08
4.178074132206446682e-03,-1.446991163280375939e-04,-1.684468164073748782e-08
4.178074132206019940e-03,-1.451513010665624070e-04,-1.695019790040287150e-08
4.178074132205588861e-03,-1.456034858050872472e-04,-1.705604389837969191e-08
4.178074132205154313e-03,-1.460556705436120604e-04,-1.716221963466795568e-08
4.178074132204715428e-03,-1.465078552821368735e-04,-1.726872510926766280e-08
4.178074132204272206e-03,-1.469600400206616867e-04,-1.737556032217881327e-08
4.178074132203825515e-03,-1.474122247591864727e-04,-1.748272527340141041e-08
4.178074132203374487e-03,-1.478644094977112587e-04,-1.759021996293544759e-08
