gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
1.007217921718878834e-02,2.628145006688051982e-02,1.363252749462693335e-02
-3.782365510022844129e-02,1.213116476913904569e-02,1.853951586651344380e-02
2.246519150332670564e-02,4.851406644962523440e-02,2.191440070292758474e-02
2.020708318877174198e-02,3.427695582870737834e-02,9.378216213073418267e-03
-2.365409305206171015e-02,-2.075087519243250592e-03,4.103644157906254954e-03
-3.566831567692556326e-02,-3.985623068073818748e-02,-3.703242973256228726e-02
2.393671158248873720e-02,-4.060426610178657827e-04,1.119653011341534450e-02
2.440121736316706175e-02,-6.659181729758011526e-04,1.689327240241977196e-02
-3.575821731299375084e-02,5.410149190705399770e-04,2.149762552348738823e-02
2.014359615985722787e-02,-2.092534859198385243e-03,2.196281654104535047e-02
-2.631354177160075049e-03,2.374897185344512773e-02,-2.115782192780589141e-02
-2.163818186484744652e-02,-3.111681193680733079e-02,-3.414145041453642976e-02
1.489518882051728277e-02,-2.865855154575327676e-02,1.026900355828950194e-02
-2.357015128820099618e-03,1.698090850774981037e-02,-3.890871624915970967e-02
5.598643242376628686e-03,-3.676206606551713635e-02,3.149389515580685618e-03
1.639088316440137031e-03,-7.458408361972586808e-04,3.842565602116609913e-02
1.689404840193977839e-02,6.020360692481956100e-03,-4.456557681346810101e-02
9.267334533401311303e-03,2.105016024616690809e-02,-8.966079693300956638e-03
-1.369695832757511327e-02,5.357101955193181025e-03,3.776368051999340336e-02
-2.720740751528305870e-02,-1.218035820939418479e-02,9.563333470001340181e-03
1.689047057962807241e-02,-3.226997229563603742e-02,4.518540639909304941e-03
1.101254358870642353e-02,-1.096208625505928208e-02,1.363822670745623231e-02
-5.179306646100777971e-04,-2.657376540466533862e-02,1.102053857322784526e-02
1.713581044406859225e-02,1.330981539072154801e-02,-2.935196040994743003e-02
-4.999843945001039569e-03,-1.315573120245197049e-02,5.814951676268915494e-04
1.794642570236186854e-02,1.588219034052113995e-02,-3.586635889847898862e-05
1.456803076894520876e-02,-3.336013674195005899e-03,3.599788580691030276e-02
-5.879161655673282097e-03,1.294780288717295100e-02,3.024378848050936555e-02
-8.547165911603062799e-03,3.308247881645000766e-03,-1.281402616445101103e-02
2.179425490903328863e-02,2.481081418144841927e-02,-2.564879734904595629e-02
1.247146623051482561e-03,2.049195802130796430e-03,-1.696207261900917196e-02
-1.124713946921833928e-02,-8.249039978644706617e-03,3.616828134721697223e-03
-2.992395321566774635e-03,3.711221941731759899e-02,6.287920592564182412e-03
-7.912512290103842008e-03,-1.418981544542115454e-02,-2.474858480902828242e-02
-4.636788657730856952e-03,-2.592955778189318106e-02,3.568499429930681484e-03
-7.336773749673165985e-04,3.157449580299528935e-02,3.103447703841363727e-03
-7.106737119118483430e-03,3.295250765778731661e-02,-1.934378781745024409e-02
8.517125653834601434e-03,2.442162961899934596e-03,1.353331481652344202e-02
2.453227271053442377e-02,1.597883304930524523e-02,1.009580384142903103e-02
2.924147468482880124e-02,2.469238800578815729e-02,8.143023293386590297e-04
-3.755463741827470012e-04,-6.976987637802857219e-04,2.843207371054299812e-02
-4.541547884796078710e-02,-1.806270506060108499e-02,8.502701094649576033e-03
2.201089856041126350e-02,1.224655323411167479e-02,-1.097382761808534009e-02
3.555138187743533268e-02,1.067640220152817065e-02,-8.549800220886489416e-03
1.393207775981155500e-02,1.109971608803495642e-03,-2.504642148928370657e-02
3.141596639356322718e-02,-2.622808222768291050e-02,1.609091322259486104e-02
3.222263188248068733e-02,-1.336413981232683831e-02,-1.979338753735851095e-02
-4.236775694390358671e-02,-1.951451662139655832e-02,-1.739218104991823236e-02
-3.560669747932968671e-02,-1.415368210399187490e-02,-1.174538727824762409e-03
