Yaw (deg),Pitch (deg),Roll (deg)
-7.058358079042622961e-03,3.500102768181644564e+00,1.117384761858927766e-02
-6.808525215363409565e-03,3.501425087263470903e+00,1.110326993521858902e-02
-7.093260694095422300e-03,3.503035897490840433e+00,1.118356005219402552e-02
-6.568972870867481606e-03,3.504430113796056734e+00,1.132610007092749865e-02
-6.597202261443053765e-03,3.506316289120162466e+00,1.150131067061961436e-02
-6.234874151855349968e-03,3.507942821426553781e+00,1.154586220868296376e-02
-6.391888903883083915e-03,3.509212659276397250e+00,1.197937244241547607e-02
-6.137142412134082882e-03,3.510900506562540269e+00,1.220460649970871170e-02
-6.726070914193306785e-03,3.512677889481394367e+00,1.215380395000912640e-02
-6.576840747394764597e-03,3.514453429705065357e+00,1.205099980671673829e-02
-6.440132250322051603e-03,3.516373091135276407e+00,1.215908056213064158e-02
-6.254296996810126096e-03,3.518151812825480729e+00,1.179119836474829854e-02
-6.034562976770789511e-03,3.520294929596164302e+00,1.202848986829167278e-02
-5.940454903058899755e-03,3.522296273945963563e+00,1.223540805359640479e-02
-5.899261958703046899e-03,3.523934682044354894e+00,1.200060131629540443e-02
-6.270284061453027663e-03,3.525195936536154484e+00,1.162051087188564584e-02
-6.158022966827545949e-03,3.526852166714857795e+00,1.186618098596190288e-02
-5.988679407916957381e-03,3.528506358811038357e+00,1.212001383967120476e-02
-5.773214164338055787e-03,3.530173183593562136e+00,1.177492691645959724e-02
-5.553104978172234731e-03,3.531814244976588135e+00,1.198899126172621107e-02
-5.764956923258018548e-03,3.533714384138870734e+00,1.194884800948561171e-02
-6.107010535036856355e-03,3.535066464866049696e+00,1.171061472298622411e-02
-6.004100094492331556e-03,3.536443609520147024e+00,1.186529194585727622e-02
-6.393818192021283320e-03,3.538277823219196261e+00,1.181691751309202343e-02
-6.362258801154286984e-03,3.539575093318472199e+00,1.187416957856196088e-02
-5.977201053384955873e-03,3.541233024952934016e+00,1.191341700192990148e-02
-6.423639198139811934e-03,3.542959364219848695e+00,1.205365179190804117e-02
-6.513365926023308508e-03,3.544836500330803108e+00,1.213965939983040199e-02
-6.134937745721926079e-03,3.546557180287785993e+00,1.202489659283537994e-02
-6.039084170564689227e-03,3.548103118408988621e+00,1.175774796948485246e-02
-5.993814367916135144e-03,3.549448744026898694e+00,1.192850909679446861e-02
-5.857131768566590374e-03,3.551008002211044623e+00,1.204603216618653147e-02
-5.746689167895496254e-03,3.552411721532592992e+00,1.204692561653895877e-02
-6.040663020574305216e-03,3.554214935081322135e+00,1.219928985337116745e-02
-6.034784153349135975e-03,3.555754002921943435e+00,1.214882748275225924e-02
-6.035027078175147879e-03,3.557584024402745904e+00,1.232744926742569691e-02
-5.674281573144287875e-03,3.559222358678657105e+00,1.249455420855715392e-02
-5.371153048758412277e-03,3.561024116316735988e+00,1.245358406463832265e-02
-5.499448878645678447e-03,3.562730144971684165e+00,1.235930097062337349e-02
-5.756311404219563270e-03,3.564651799545719868e+00,1.256014422641918253e-02
-5.926199301359949198e-03,3.566346391890788503e+00,1.256070055352654681e-02
-5.889924520233161612e-03,3.567938529948453841e+00,1.244912140444307848e-02
-5.826791972348986486e-03,3.569984847943486805e+00,1.242173736460531509e-02
-6.074741495541262359e-03,3.571518785824426168e+00,1.232577918538818422e-02
-6.038993314401635247e-03,3.572935838331952496e+00,1.228030020704929358e-02
-6.007777919174268552e-03,3.574928505517246613e+00,1.227363408699267376e-02
-6.201463119184914483e-03,3.576935573851898198e+00,1.218934295190791765e-02
-6.065789309695333864e-03,3.578638041513980017e+00,1.228201997899262127e-02
-5.964506011031904184e-03,3.580476455525103407e+00,1.253297820001010761e-02
-5.956166055424615136e-03,3.582402596912551473e+00,1.282562958198813635e-02
-5.671151301372667417e-03,3.584075348576761577e+00,1.283953781787971690e-02
-5.585864595654780121e-03,3.585575068362878870e+00,1.239058354418142403e-02
-5.695676512020748060e-03,3.587378496320701160e+00,1.260346119384340297e-02
-5.781195009206707702e-03,3.589166791121666478e+00,1.295327022927792414e-02
-6.032023076903518348e-03,3.590860032637441357e+00,1.307647010690988348e-02
-5.870738347244886836e-03,3.592280372456792659e+00,1.340012155176564974e-02
-6.068972915230196052e-03,3.593830008769871132e+00,1.370919705735811067e-02
-6.243154924332186204e-03,3.595318708394769747e+00,1.327404312963526706e-02
-6.254839326277615921e-03,3.596861551269757928e+00,1.291668927416784844e-02
-6.259750166812787231e-03,3.598411268968802812e+00,1.261908442204006872e-02
-5.942076218839931548e-03,3.599896531571507907e+00,1.258931408609774774e-02
-6.239247088760478850e-03,3.601561315081764025e+00,1.239292788819524628e-02
-6.334157263966200442e-03,3.602974211673428240e+00,1.229292297810398969e-02
-6.351920739083556991e-03,3.604477620595548437e+00,1.247418828969822958e-02
-5.995534959030173264e-03,3.606196770221450798e+00,1.253268112262362691e-02
-5.553352839272441589e-03,3.608042921989027096e+00,1.251659771542558072e-02
-5.576220511555820061e-03,3.609583882875490257e+00,1.271276891481828639e-02
-5.663729794225708797e-03,3.611262763974020462e+00,1.270789063891415195e-02
-5.353059405057722028e-03,3.613150263649747007e+00,1.263821266768368722e-02
-5.148215206651919791e-03,3.614899942343617223e+00,1.266952028433014632e-02
-4.734767086072735713e-03,3.616709684508168099e+00,1.292437381788689478e-02
-4.635246237766842657e-03,3.618207253297010872e+00,1.281974786629232026e-02
-4.724043513745047190e-03,3.620114405814086389e+00,1.297020336393809974e-02
-4.376879115779148607e-03,3.622007907850501862e+00,1.301142967599745563e-02
-4.355068743474310028e-03,3.624000227042509792e+00,1.344807866791735730e-02
-4.490053318694013813e-03,3.625754634312202018e+00,1.363530152044480429e-02
-4.657536735695704325e-03,3.627399099506853020e+00,1.372511181493428663e-02
-4.780277308165697264e-03,3.629267007058239347e+00,1.366890599025831314e-02
-4.671509288971038842e-03,3.630796126344496777e+00,1.367697850203099946e-02
-4.504883573739800785e-03,3.632097167856144448e+00,1.403195454381351952e-02
-4.409808002430665348e-03,3.634071716548368691e+00,1.436562331039291374e-02
-4.391280941318242981e-03,3.635594559054310615e+00,1.456681898857250732e-02
-4.085908656268563872e-03,3.637352752129679789e+00,1.459918454157762592e-02
-3.762979804983090232e-03,3.639367896290486737e+00,1.462426811058015544e-02
-3.766127090493641416e-03,3.640945518407232129e+00,1.478974494358554007e-02
-4.144359186728193041e-03,3.642761965500304733e+00,1.485985057199152269e-02
-4.281260815074824748e-03,3.644316674315540183e+00,1.464880664115168762e-02
-4.323096421642579588e-03,3.645851874332315834e+00,1.481077852567160534e-02
-4.437528233931922923e-03,3.647587421016663445e+00,1.497625720517640861e-02
-4.432508733119918005e-03,3.649420258969401587e+00,1.551506280736565484e-02
-4.605745672943894684e-03,3.651287528375334990e+00,1.549616888338975658e-02
-4.463815811031880861e-03,3.652801460425106672e+00,1.561381315719065008e-02
-4.477192795642776120e-03,3.654150380110583018e+00,1.600370451896799412e-02
-4.489355044367003555e-03,3.655977579521366927e+00,1.618552040577957499e-02
-5.089421241223207430e-03,3.657523177395851643e+00,1.601230186697335384e-02
-4.950926896324576651e-03,3.659350901993765781e+00,1.634293593074117451e-02
-5.176396044360532384e-03,3.660955549520187535e+00,1.658257274644072202e-02
-5.008596168627991486e-03,3.662246955272837834e+00,1.654015131230050090e-02
-4.815802283740055860e-03,3.663911732915529296e+00,1.655725172659452266e-02
-4.500915640638506084e-03,3.665382259947001842e+00,1.630867829860177531e-02
-4.787389626159825780e-03,3.666981424648025456e+00,1.626111733882698931e-02
-4.446781222515687644e-03,3.668602826147423723e+00,1.638421280851278319e-02
-4.451908559971513683e-03,3.670223797240078412e+00,1.646763721854613630e-02
-4.528008031869565179e-03,3.671932131571324032e+00,1.691535406345294826e-02
-4.658319039895687623e-03,3.673470327565544036e+00,1.692280897782339616e-02
-4.585011489965888122e-03,3.674929129871045141e+00,1.724383526432273980e-02
-4.492903671613004274e-03,3.676707014573170174e+00,1.723136024872981217e-02
-4.364812258049766483e-03,3.678256258505506970e+00,1.746274495997234694e-02
-4.589839101101221217e-03,3.679858398002120445e+00,1.764008019567395863e-02
-4.753425838807214150e-03,3.681523042056126904e+00,1.736568074011948445e-02
-4.903951927842337827e-03,3.683501857763260556e+00,1.760085336241378265e-02
-5.059646229009680252e-03,3.685473609158743447e+00,1.815405210125481394e-02
-4.598842883708404751e-03,3.687712351661202259e+00,1.819064548443742602e-02
-4.417073074263254927e-03,3.689540478241441601e+00,1.806772071159288076e-02
-4.519858182833198096e-03,3.691085916944865097e+00,1.828667149536590195e-02
-4.555199754815641641e-03,3.692877174465856172e+00,1.869836054115430260e-02
-4.796384152795268516e-03,3.694662746389143937e+00,1.868262331309203036e-02
-4.862350979811410484e-03,3.696311644949002773e+00,1.894641571949716441e-02
-4.784919162348377254e-03,3.698037311211417766e+00,1.899322097864734882e-02
-4.913599842841820040e-03,3.699567616558930627e+00,1.905840960409527218e-02
-5.229520574181924751e-03,3.701287107749251071e+00,1.919720335065864744e-02
-5.324580108369313287e-03,3.703155392989549988e+00,1.892837133159498697e-02
-5.255723694201172580e-03,3.704908738681897074e+00,1.943150374794838306e-02
-5.096405074033224895e-03,3.706648485542742399e+00,1.953178611042823143e-02
-5.053527725083428561e-03,3.708695232721929802e+00,1.932227929759115781e-02
-5.450451839140150849e-03,3.710221714128974835e+00,1.932582475397484276e-02
-5.557326489782638511e-03,3.711721575945372553e+00,1.949879154082446650e-02
-5.939804581119047765e-03,3.713031314404561911e+00,1.973235438542602846e-02
-6.016282161147735313e-03,3.714800497875808905e+00,1.986835888213913173e-02
-5.989505853799588324e-03,3.716928186350660024e+00,1.957054953584766097e-02
-6.387695223978782227e-03,3.718801071386977242e+00,1.945438360511492909e-02
-6.224015282516371685e-03,3.720900137015676012e+00,2.002329644506456452e-02
-6.012812081093298067e-03,3.722159500716952341e+00,2.010928036779134273e-02
-5.853140605614862678e-03,3.724066949910846969e+00,1.997883389715927535e-02
-5.774609791707165964e-03,3.726225328024141525e+00,1.994940790135643280e-02
-5.885440756453625029e-03,3.727440819984655374e+00,1.986896780344371907e-02
-5.861289036204104380e-03,3.729566627169131898e+00,1.992906463136245171e-02
-5.787305580512713821e-03,3.731433228939240454e+00,1.997021277844496928e-02
