gyro_bias_x (deg/s),gyro_bias_y (deg/s),gyro_bias_z (deg/s)
-7.986461372616727821e-05,1.585884821951285550e-01,-2.213136909022947804e-05
-5.290641503603304573e-05,1.586451814673826288e-01,-2.064999137517026148e-05
-3.094463204566794671e-05,1.587019499362749553e-01,-1.939322676972011364e-05
-2.997579193905779548e-05,1.587588140186687036e-01,-1.934430620473394523e-05
-3.307295297235609524e-05,1.588157224100432141e-01,-1.953836051418505860e-05
-2.806114268646583740e-05,1.588726646871622128e-01,-1.928269525892072016e-05
-4.758252645696166950e-05,1.589296231097914180e-01,-2.044118413836378022e-05
-5.278527205838302085e-05,1.589866377608339931e-01,-2.076480260686750927e-05
-5.443715615718238018e-05,1.590436819442198058e-01,-2.090645238526805632e-05
-7.438500654893393492e-05,1.591007177019524155e-01,-2.211214207105334132e-05
-7.600815938337613417e-05,1.591578121931538081e-01,-2.223847863405182908e-05
-5.224054588189241754e-05,1.592148855975487332e-01,-2.089097714497643889e-05
-4.514721337512677822e-05,1.592720182528388206e-01,-2.054203578132560295e-05
-3.377574091799712900e-05,1.593291583981990001e-01,-1.993189631434602618e-05
-1.782852665878225483e-05,1.593862986737978327e-01,-1.903694812535525386e-05
2.143606110501845885e-06,1.594434337821772629e-01,-1.792047783647016115e-05
-3.772227769435529924e-05,1.595005340909551039e-01,-2.028104659295662621e-05
-2.504881933238227955e-05,1.595577359478833890e-01,-1.956457297707510934e-05
-1.199192147190838436e-05,1.596149427549343469e-01,-1.883142041786250705e-05
-1.591290980782043721e-05,1.596721815630006147e-01,-1.910129450671078235e-05
-8.076790603425798606e-06,1.597294136142647647e-01,-1.868099207258775319e-05
-1.515641597352986282e-05,1.597866640802855231e-01,-1.916297627678937803e-05
-2.813382563735375614e-05,1.598439127112576963e-01,-2.001966106238583403e-05
-6.266736763537511989e-05,1.599010852290937146e-01,-2.206724629122575008e-05
-6.819323708832525247e-05,1.599583543875303937e-01,-2.240974761361776713e-05
-9.987621460524064596e-05,1.600155355022874759e-01,-2.429150315950442631e-05
