q0 (),q1,q2,q3
9.723727308281063797e-01,-2.036662497246635533e-04,2.334335632924113835e-01,4.889332751561373117e-05
9.721130188097445446e-01,4.777173612391435314e-04,2.345123390473264902e-01,-1.152444351839650323e-04
9.720707113149081868e-01,-1.859993213615371863e-04,2.346880814856829589e-01,4.490601700048228007e-05
9.719574204935839123e-01,2.177170780051893061e-04,2.351568042224145283e-01,-5.267478925398090729e-05
9.722534697665647929e-01,5.958276443675655440e-04,2.339290810575996304e-01,-1.433591318003564843e-04
9.721646319440410133e-01,8.585967519341137057e-04,2.342971369652015745e-01,-2.069266399699301758e-04
9.720568134150084916e-01,-1.166985013618193753e-03,2.347426467840609821e-01,2.818159875775822507e-04
9.720808640117805099e-01,-2.063601537621414703e-04,2.346460073308974659e-01,4.981230260272850240e-05
9.721343639288633209e-01,2.544633695104214668e-04,2.344242093975990593e-01,-6.136227298564540019e-05
9.722315307115829697e-01,1.109826924343286112e-03,2.340182634150986818e-01,-2.671377766734691099e-04
9.719201082725438257e-01,-3.752920480976739532e-04,2.353107605604288222e-01,9.086164234949744157e-05
9.721961216311063581e-01,-3.077915977775717133e-04,2.341678903128984468e-01,7.413618250881946856e-05
9.720178569558097781e-01,-2.295741195731387723e-05,2.349069713763531075e-01,5.548103951939075692e-06
9.722054055230975322e-01,-3.610102950366281455e-04,2.341292625554432516e-01,8.693952293586652727e-05
9.719644444354093027e-01,2.970540078963042623e-04,2.351276788223480019e-01,-7.186026172192449407e-05
9.722626056120167171e-01,1.183007836220344785e-04,2.338918787036941838e-01,-2.845897021418353714e-05
9.721823151379420658e-01,2.321643737602185708e-05,2.342254161331369378e-01,-5.593477294180215478e-06
9.720306951749114743e-01,-6.715673683905596237e-05,2.348538329780312239e-01,1.622584259451925732e-05
9.720893897877124212e-01,7.107569177527348070e-04,2.346096410240129659e-01,-1.715381600510200682e-04
9.722197663025169412e-01,9.854264919567817024e-04,2.340677223775573801e-01,-2.372473205518626962e-04
9.722447960337090578e-01,-8.808285293241308088e-05,2.339659128537364130e-01,2.119670393420024530e-05
9.720069359795239228e-01,-9.378985788398484466e-05,2.349521378859902865e-01,2.267075141769322628e-05
9.722700103044548126e-01,3.144006498020588932e-04,2.338609041630548835e-01,-7.562304653327491823e-05
9.722557723207864155e-01,1.536694822234293580e-03,2.339149740182966675e-01,-3.697133405121989249e-04
9.721360204436320096e-01,5.410806402202642711e-04,2.344168252585827616e-01,-1.304739287732938513e-04
9.720381954902507227e-01,3.915407709998547890e-04,2.348224526256074141e-01,-9.458739849490754403e-05
9.721319214186946445e-01,-5.184801835975690965e-04,2.344338774658055180e-01,1.250337707793569054e-04
9.721487923188957270e-01,1.740801729022657066e-04,2.343644459549565351e-01,-4.196703590678270787e-05
9.721615071713620715e-01,-7.262559405683377111e-04,2.343105757040979120e-01,1.750423631133265795e-04
9.721173639942793931e-01,6.984164202070171747e-04,2.344937407535629958e-01,-1.684717144698792083e-04
9.722123180607565862e-01,4.411207893564977325e-04,2.341004116636530852e-01,-1.062181135369015924e-04
9.721523045228640525e-01,-3.688411988076714578e-04,2.343496380653964095e-01,8.891384718427293682e-05
9.721396651709279801e-01,-3.522706050654408525e-04,2.344020906307661689e-01,8.493940660325362431e-05
9.722800050983089193e-01,4.518503013143841478e-04,2.338191089487911267e-01,-1.086633832615836699e-04
9.719216207691602216e-01,-6.250393000956274694e-04,2.353039513238862623e-01,1.513231251392738359e-04
9.720857475721824681e-01,7.093127109380579912e-05,2.346258597057967465e-01,-1.712020827583765593e-05
9.718641826221974256e-01,8.527207250734860147e-04,2.355403164919265269e-01,-2.066647923181180822e-04
9.720347954029314730e-01,-4.904900797948500910e-04,2.348363300333092818e-01,1.184987315284539446e-04
9.720575917006905042e-01,-3.448561539429719153e-04,2.347422257623039688e-01,8.327932607652251346e-05
9.719595702438490470e-01,-8.925898497652407599e-04,2.351462320829461050e-01,2.159443112588741484e-04
9.720822691713664199e-01,3.247012388827816049e-04,2.346400442996814939e-01,-7.837599295022874780e-05
9.720620500255691132e-01,6.763373701016994223e-05,2.347240210524829673e-01,-1.633153224057625123e-05
9.721607070828469643e-01,1.837799284299909583e-05,2.343150854017032325e-01,-4.429556688668191599e-06
9.720785862627882024e-01,1.107326680806209316e-04,2.346555116614608416e-01,-2.673038091086226293e-05
9.721841102796497935e-01,-7.792114334200341943e-06,2.342179661245579747e-01,1.877271138119548033e-06
9.723221886468825792e-01,2.770239696580102380e-04,2.336439177283174129e-01,-6.656740567200420983e-05
9.720755869916969383e-01,-4.512306081079710978e-04,2.346675045670457427e-01,1.089309948793854601e-04
9.719950988945387227e-01,-4.223556178432357378e-04,2.350007210915525946e-01,1.021135547526023246e-04
9.721507027324387540e-01,-8.626817425795547207e-05,2.343565729868171965e-01,2.079668678950530398e-05
9.720673052900681288e-01,8.730151324731796046e-05,2.347022494997483277e-01,-2.107864489667550401e-05
9.723247027206725068e-01,-1.084713535375729596e-03,2.336309652949677684e-01,2.606358448255444832e-04
9.721830594686935445e-01,-5.711905973673958494e-04,2.342215909902711779e-01,1.376131472062366737e-04
9.720492128472147941e-01,-8.384551540525870877e-04,2.347756030470961597e-01,2.025091032624316411e-04
9.721273416815263690e-01,-3.283773849887058763e-04,2.344532308401980902e-01,7.919655743072358798e-05
9.720299431598259376e-01,9.097118063173233529e-04,2.348550908834604323e-01,-2.197982175897665970e-04
9.719083443011651280e-01,3.229182132520920924e-04,2.353594270187167881e-01,-7.819857303475266392e-05
9.720522934030280116e-01,-1.365610348533642768e-04,2.347643907265817287e-01,3.298142328547454380e-05
9.721307668207340713e-01,-1.552069504704084782e-04,2.344392175177805182e-01,3.742973400646763674e-05
9.720759600983888138e-01,6.109419962546682164e-04,2.346655765056226417e-01,-1.474854452198229380e-04
9.720131915771642594e-01,1.668406877467756486e-04,2.349262138164924241e-01,-4.032378513227010433e-05
9.719648469416320991e-01,-3.170870958448304125e-04,2.351259872530295225e-01,7.670587747109017804e-05
9.720610656054529120e-01,1.710359690662494644e-04,2.347280421571508457e-01,-4.130083960555095828e-05
9.722570355081103788e-01,6.866195903004609306e-04,2.339139973790236304e-01,-1.651928730574750155e-04
9.721664630971902366e-01,-5.104280188846441191e-04,2.342906151775936696e-01,1.230123637132790658e-04
9.720809856529541992e-01,-2.719898464185673296e-04,2.346454326063768803e-01,6.565417503209114826e-05
9.721188680227496048e-01,-5.423032352121183930e-04,2.344879426109671150e-01,1.308107208687416824e-04
9.721109730091208601e-01,-8.560555269828392993e-04,2.345196807797647054e-01,2.065215541146710686e-04
9.721337561367192626e-01,-2.745031163405581699e-04,2.344267059140469345e-01,6.619548073568513207e-05
9.720389967579361468e-01,-3.160172039664016909e-04,2.348192562098042890e-01,7.634150999331973050e-05
9.720659090693609672e-01,2.696596448128079130e-04,2.347078854012284721e-01,-6.511003464019678979e-05
9.719935557897108058e-01,6.303187440295363508e-05,2.350074962591756911e-01,-1.523977489328717515e-05
9.721180638002155927e-01,4.648566925991521118e-04,2.344914526547469680e-01,-1.121313605651283061e-04
9.722246704334150946e-01,-1.433190863865181251e-04,2.340495000419447469e-01,3.450206679108353089e-05
9.721130230794595706e-01,6.886525560714230583e-04,2.345117662672761838e-01,-1.661299904790836742e-04
9.721484082492163337e-01,-3.125980157503965157e-04,2.343658868984110633e-01,7.536124174287994466e-05
9.722504759566668042e-01,4.956165900441311147e-04,2.339417708417010633e-01,-1.192546834388149343e-04
9.720260169118770666e-01,7.899332801544688924e-04,2.348717991150218176e-01,-1.908725152029864993e-04
9.720619564158697878e-01,8.860816817343095369e-05,2.347244013300359700e-01,-2.139626912686382670e-05
9.722534951568271300e-01,1.095131087274974169e-04,2.339297511389208106e-01,-2.634948025251452914e-05
9.721000186990613745e-01,-5.433752578973482465e-04,2.345660700044538138e-01,1.311155193199263708e-04
9.721709662501594185e-01,-5.692755102979219200e-04,2.342717855109500702e-01,1.371828565911253851e-04
9.722323920343599601e-01,5.592722179684550066e-04,2.340167621602730341e-01,-1.346170675730240962e-04
9.723477651976344394e-01,7.809006269174916415e-05,2.335376138127120416e-01,-1.875560119152373088e-05
9.720251836112230315e-01,5.869753000617736020e-04,2.348758773664233745e-01,-1.418341221183529979e-04
9.719406223389073229e-01,-4.333634806883659334e-04,2.352259081042751554e-01,1.048812200470054795e-04
9.721001896613312709e-01,3.338391925619177457e-04,2.345657761113841833e-01,-8.055471044292816189e-05
9.721398062818037422e-01,-8.416198216207781881e-04,2.344001867278941165e-01,2.029294984806136334e-04
9.722621791449488349e-01,-7.876712107518722130e-04,2.338922800636626942e-01,1.894861482581597313e-04
9.721200215807966893e-01,-7.683975743112747613e-05,2.344838105155204466e-01,1.853441830386324342e-05
9.720596428314243198e-01,-3.878005665323574786e-04,2.347336610278205338e-01,9.364635946169987146e-05
9.719508861554639889e-01,6.119308585168579777e-04,2.351830744713754862e-01,-1.480689844722087836e-04
9.720500181192933686e-01,1.765558350269714300e-04,2.347737832125477431e-01,-4.264253954516726802e-05
9.721169999881950075e-01,-4.867755931545456635e-04,2.344958157319849690e-01,1.174208863712723701e-04
9.721146620011535955e-01,1.062507174022199290e-03,2.345034952972609998e-01,-2.563089065786822011e-04
9.722188997424459078e-01,2.197863243406022877e-05,2.340735151026838712e-01,-5.291622856080265037e-06
9.722464071711000022e-01,-1.656808310438677542e-04,2.339591731546505626e-01,3.986905989334970697e-05
9.722360694430208783e-01,2.399980046954628381e-05,2.340021894440915406e-01,-5.776380894109894710e-06
9.722587816849069808e-01,-5.025326808164373845e-04,2.339072343487675620e-01,1.208999412028345785e-04
9.720618985695742564e-01,-1.672360385411763770e-04,2.347245955384003602e-01,4.038262539020025238e-05
9.721898649892061206e-01,5.693810872128029403e-04,2.341933462006673405e-01,-1.371596916197236830e-04
9.720350626077477463e-01,-1.099859330485452929e-03,2.348330401938429068e-01,2.657139853273898246e-04
9.721470583776632424e-01,-9.167732332758097603e-04,2.343698094137616761e-01,2.210200258354517739e-04
9.721668715096067892e-01,-2.289398770433119696e-04,2.342893904589005150e-01,5.517384496030232365e-05
9.719217672422922893e-01,-2.775481713964456131e-04,2.353040518403247405e-01,6.719492402743539885e-05
9.721597414768310408e-01,-1.898976430592694774e-04,2.343190109564539658e-01,4.577090163908028908e-05
9.721005098174066994e-01,9.178013020676736394e-06,2.345647005062729828e-01,-2.214624777680744635e-06
9.721928586459172017e-01,7.147585700229539853e-05,2.341816393158380472e-01,-1.721709146024310758e-05
9.724390354619855126e-01,3.551152115698058141e-04,2.331570049417461266e-01,-8.514425698628504547e-05
