Yaw (deg),Pitch (deg),Roll (deg)
-1.745136998705636125e-18,2.713875494281956691e+01,-3.972172639925904136e-02
4.364306573801519201e-19,2.717622919458839092e+01,1.417797981517244198e-02
3.489893086580196597e-18,2.712655205302533545e+01,-7.142492909922204536e-02
-8.724571204736448887e-19,2.712448160467207714e+01,8.887816454486356307e-03
-3.488470639408825866e-18,2.708091390426689671e+01,9.741344330779617977e-02
-1.745534414880969036e-18,2.716419337501733366e+01,4.549515803901277300e-02
-2.181803801152314344e-19,2.715834754299800835e+01,4.914623486748956153e-03
0.000000000000000000e+00,2.712989962961907153e+01,-6.973646288395288217e-02
6.978549834759819648e-18,2.710673185532147045e+01,1.246145967985804875e-01
-1.745247413945173831e-18,2.714582594529010962e+01,4.164819178901933011e-02
3.489535347433791908e-18,2.711508444447176558e+01,-4.566696335976457022e-02
0.000000000000000000e+00,2.703098148466860451e+01,-9.664482027964043038e-04
4.361765854436896318e-19,2.711115078397647338e+01,-9.198406857314975205e-03
3.490187019625687887e-18,2.713596919694283471e+01,-8.492256535947181884e-02
-4.365403731447686128e-19,2.720426412979918496e+01,7.952078058717308370e-03
1.745428775871943889e-18,2.715743474769677235e+01,-2.435525245753862242e-02
-1.744604980281059472e-18,2.710464797619499677e+01,-5.227372162967176134e-02
3.494821525504015181e-18,2.728384600001699312e+01,-1.095031589031238706e-01
-1.744218522222056616e-18,2.707983472548094284e+01,-4.622895659972856702e-02
3.487787007209907709e-18,2.705894150098412965e+01,7.157238344292427001e-02
-1.745022726314221388e-18,2.713143419220547159e+01,4.706638407442694655e-02
-3.488142960872900995e-18,2.707038522563140504e+01,-5.072547287413581296e-02
0.000000000000000000e+00,2.712799844123695436e+01,2.561520781129080979e-02
0.000000000000000000e+00,2.724069160730559958e+01,1.072129909621493821e-01
6.977126456009675247e-18,2.708388783574531189e+01,1.257907673985269037e-01
1.745702328360249576e-18,2.717493135183939401e+01,5.900323485348950292e-02
-6.983718574474678920e-18,2.718945850980281165e+01,7.394233389931187395e-02
0.000000000000000000e+00,2.709116895731279939e+01,1.388366337264064776e-01
0.000000000000000000e+00,2.722537238545605831e+01,8.089910447188350395e-02
-3.490753796433356474e-18,2.715411482349130523e+01,1.147977055770229710e-01
-1.744885390010784142e-18,2.712263218907494178e+01,-3.075038084157567450e-02
-4.363328653671538840e-19,2.715120661656482426e+01,6.103643756155473915e-03
0.000000000000000000e+00,2.722959390128690060e+01,1.108269983033945139e-02
0.000000000000000000e+00,2.714552275392173897e+01,4.653063887281269628e-02
0.000000000000000000e+00,2.702751003234408245e+01,1.332691193392933696e-02
8.728840837323056377e-19,2.717914009390991481e+01,-2.724479719363237171e-02
0.000000000000000000e+00,2.704392547870863694e+01,2.888882857119405567e-02
0.000000000000000000e+00,2.712611918558626556e+01,3.227167142824549639e-02
-1.745403559061818563e-18,2.715582106278553098e+01,3.206855216828131960e-02
-8.725056106942171474e-19,2.713069698594668822e+01,-2.737359575816059390e-02
0.000000000000000000e+00,2.711130639091572903e+01,7.250763141969519820e-02
-1.745595921185842390e-18,2.716812736504870429e+01,-2.189521909281131815e-02
1.746299509704472828e-18,2.721307235301113536e+01,4.384707242626743884e-02
3.487930506057175516e-18,2.706355573332382747e+01,-9.202733035261215222e-02
0.000000000000000000e+00,2.707362176206360971e+01,8.481885723589617510e-02
0.000000000000000000e+00,2.715273313601263894e+01,4.763203604046496037e-02
0.000000000000000000e+00,2.710209659351831490e+01,-8.633939809508758834e-03
0.000000000000000000e+00,2.714099884364097903e+01,-1.775100725282570055e-02
-1.090123963261866688e-19,2.707853808739837831e+01,2.761145256861701619e-03
0.000000000000000000e+00,2.717017579743307465e+01,4.380012045065698190e-02
2.181391511542802480e-19,2.713723112269748228e+01,-7.617755621075732869e-03
0.000000000000000000e+00,2.716058866347395551e+01,5.406453373993673484e-02
-3.487818892303965047e-18,2.705996686783142735e+01,-7.733643653138799756e-02
0.000000000000000000e+00,2.721531571632157664e+01,-9.533709241352131269e-02
