accel_bias_x (m/s^2),accel_bias_y (m/s^2),accel_bias_z (m/s^2)
1.156487346986703383e-04,9.999993211915012004e-02,-1.419632106165613881e-05
2.270520256136828265e-04,9.999974198583719276e-02,-7.081218582429364311e-06
4.157308079278324974e-04,9.999913573159266433e-02,4.563972731197029312e-06
6.913427987142931183e-04,9.999760791037549945e-02,2.138545005212065151e-05
2.925358278300267136e-04,9.999957203019640972e-02,-4.070257525938991709e-06
1.102997645735228428e-04,9.999993796846114169e-02,-1.550051151066473759e-05
-3.176419822245856459e-04,9.999948689300430793e-02,-4.152959173723409748e-05
6.012721868189213614e-05,9.999998026235910886e-02,-1.822759893987669207e-05
-6.373578545924511566e-05,9.999997614947327140e-02,-2.660553385909748307e-05
-3.088454055448169953e-04,9.999951416547558924e-02,-4.220407941619255300e-05
-2.017458077175115550e-04,9.999978999381023415e-02,-3.605305698163840380e-05
2.796329116584157868e-04,9.999960882389398453e-02,-6.364189136292907768e-06
1.311369508268180399e-05,9.999999664397102306e-02,-2.234360729488629402e-05
-2.341670796825662054e-04,9.999971888566436262e-02,-3.726347938591351231e-05
-2.090631089199093337e-04,9.999977527757897278e-02,-3.517172432833414776e-05
2.137061710284492933e-05,9.999999558890936002e-02,-2.062801097010025513e-05
2.824017284942866458e-04,9.999960117122919101e-02,-3.854716490859497053e-06
-1.377661653042605366e-04,9.999990056332387633e-02,-3.012986945244039517e-05
-3.093455375882408370e-04,9.999951301435079654e-02,-4.125810298584503468e-05
-3.276036391569561897e-04,9.999945433795970340e-02,-4.252018255235415987e-05
1.329144835047803297e-04,9.999991076218837927e-02,-1.346456232675277400e-05
-3.107294232234994176e-04,9.999950850311684070e-02,-4.178947961284944489e-05
8.830848640717383854e-05,9.999995962923230453e-02,-1.660611756718357831e-05
7.391540191112211280e-05,9.999997117042544459e-02,-1.739044111083953736e-05
-3.533946708196723102e-04,9.999936568520009783e-02,-4.443831977180624668e-05
5.410102880088350687e-04,9.999853585129893363e-02,1.163893247150107019e-05
3.155702744099017051e-05,9.999999294420847118e-02,-2.037921184035809018e-05
4.139563262387695522e-05,9.999998942834766036e-02,-2.001829050474289841e-05
-1.677242983458267580e-04,9.999985378951514736e-02,-3.332619593724881287e-05
-2.065659290118963809e-04,9.999977997130510277e-02,-3.655417266251218634e-05
2.104596367842310516e-06,9.999999717775598373e-02,-2.366473060280467074e-05
-3.310507223049502772e-04,9.999944192680476629e-02,-4.494159392006286520e-05
-1.859152311525992296e-05,9.999999513778105864e-02,-2.503595483648583835e-05
3.263289736185647546e-04,9.999946749554132486e-02,-3.163724568462188249e-06
1.221215970876954131e-04,9.999992403067244073e-02,-1.673843683933492956e-05
-3.669657610914928017e-05,9.999998951207356157e-02,-2.740340275021594098e-05
-3.278096939878070320e-04,9.999945200616412733e-02,-4.625225835433046615e-05
4.283048710548153647e-04,9.999908275522305379e-02,1.746849594550673547e-06
1.050152744950446108e-04,9.999994308333026716e-02,-1.884470299237610806e-05
-2.353042684456622740e-04,9.999971484168355962e-02,-4.078582137867100117e-05
-6.185767461026820183e-05,9.999997640602764637e-02,-2.987343309512020882e-05
-9.284643325859880938e-05,9.999995194258338993e-02,-3.148048354221791382e-05
-3.878476564985652831e-04,9.999923508525937477e-02,-5.056242061851064462e-05
-2.722666203673817785e-05,9.999999240870043049e-02,-2.787415883881078148e-05
-1.549088826119756539e-04,9.999987318625214172e-02,-3.695905272621634720e-05
-2.640098324136437103e-04,9.999964186034190905e-02,-4.389318564471463593e-05
-4.831764171246808078e-04,9.999881581950570419e-02,-5.809687176218391886e-05
-2.427619600815998082e-04,9.999969589956712868e-02,-4.343529481299823942e-05
2.162952940666197166e-04,9.999976504051860671e-02,-1.442868102751745531e-05
1.208474421176500838e-04,9.999992493483914058e-02,-2.022182663323908821e-05
-2.618005268212694639e-04,9.999964705625519201e-02,-4.526708020163581797e-05
3.516131630207143961e-05,9.999999025600714297e-02,-2.669232682397022861e-05
3.510312028341530319e-04,9.999938367877908574e-02,-6.399919352916805826e-06
4.261815861711266431e-04,9.999909182923852335e-02,-1.607212042639043689e-06
1.658427691597748549e-04,9.999986088945135576e-02,-1.784001947330621606e-05
2.239109769819505971e-04,9.999974833473430913e-02,-1.403083001605049166e-05
4.776713654098009836e-04,9.999885912319524117e-02,2.031260762184935354e-06
2.497058321737591780e-04,9.999968742500819907e-02,-1.272391605445563539e-05
3.806979748741329077e-04,9.999927521302723332e-02,-5.091283422253587336e-06
-1.857167911401866149e-04,9.999981895186144110e-02,-4.145923809301365188e-05
-4.333962391920781541e-05,9.999998520298700178e-02,-3.287977159001047306e-05
-2.383045616402888018e-05,9.999999216594074314e-02,-3.160571391062566376e-05
1.131315025944585896e-04,9.999993331382983630e-02,-2.320544565817952781e-05
-1.688565172801540179e-05,9.999999349469951282e-02,-3.187373248556274187e-05
-1.733582781034018281e-04,9.999984113841658973e-02,-4.146322298485407101e-05
4.416192059314267789e-05,9.999998636320281409e-02,-2.787622680607714613e-05
5.501341933973703043e-05,9.999998090796952122e-02,-2.814124059763897011e-05
5.400510778230345666e-05,9.999998142185856365e-02,-2.826793721257743496e-05
-1.770633608486564385e-04,9.999983401841371078e-02,-4.295178641009785156e-05
2.114878316856023076e-04,9.999977469473210479e-02,-1.827292713859506094e-05
