q0 (),q1,q2,q3
9.995883594278511808e-01,7.106838949201369231e-05,2.868981082545367725e-02,-3.742219476203781836e-05
9.995879825676009522e-01,6.896292776516584804e-05,2.870294646057653526e-02,-3.485727250329536195e-05
9.995875420337885231e-01,6.647712416675368211e-05,2.871829199778698841e-02,-3.311149199344136406e-05
9.995871577249915152e-01,6.570985878949771688e-05,2.873166688092292087e-02,-3.334263216784655374e-05
9.995868372628999854e-01,6.723203013363672498e-05,2.874281356153861669e-02,-3.031787164222166187e-05
9.995865363444886853e-01,6.789558611124424132e-05,2.875327626497082428e-02,-2.920698485380233592e-05
9.995861704223603095e-01,7.088178883242973001e-05,2.876598827146439538e-02,-2.819393344981620440e-05
9.995858077505936912e-01,7.172747540967771597e-05,2.877858672119053274e-02,-2.729639683174331558e-05
9.995855055557694158e-01,7.153359600253071562e-05,2.878907979349606960e-02,-2.916171045654038718e-05
9.995850902672930305e-01,7.087979642239065263e-05,2.880349366599017219e-02,-3.231122768861082720e-05
9.995846574562347042e-01,7.125085895468667176e-05,2.881850780427102146e-02,-3.330694017689819671e-05
9.995841952152021426e-01,7.491920662980825353e-05,2.883452836257847582e-02,-3.220554114878443466e-05
9.995839152826858642e-01,7.553364471872169776e-05,2.884422504092778311e-02,-3.584122121237185706e-05
9.995835876248360119e-01,7.823099228705372808e-05,2.885556690774715091e-02,-3.859282749116184759e-05
9.995831867298093920e-01,7.845082888531641839e-05,2.886945072109887295e-02,-3.830937940413066644e-05
9.995827239232437655e-01,7.962685695625003400e-05,2.888546763585740640e-02,-3.812098963632854106e-05
9.995823499631459885e-01,8.170157462928506883e-05,2.889840506744525972e-02,-3.393472316609073510e-05
9.995820561480848188e-01,8.481425634303320382e-05,2.890855682853755645e-02,-3.428410792521739350e-05
9.995816454371527771e-01,8.087258044785680645e-05,2.892276916292074382e-02,-3.144405322369267096e-05
9.995812007891501372e-01,7.597181584997215597e-05,2.893814317407573597e-02,-3.356844985254296031e-05
9.995808228602561796e-01,7.529167416950824528e-05,2.895119627229150380e-02,-3.369836907420583683e-05
9.995804892312065704e-01,7.589381976406146932e-05,2.896271211489544542e-02,-3.309651775778243798e-05
9.995800879991210142e-01,7.770834149890525348e-05,2.897655340506981314e-02,-3.146182310741737137e-05
9.995796365776397074e-01,7.706479530809641758e-05,2.899212357748449931e-02,-3.115765005164252620e-05
9.995792479772653838e-01,7.688096847387350776e-05,2.900551921981888576e-02,-3.094042919324303722e-05
9.995787957916668631e-01,7.913259766059508704e-05,2.902109095604757383e-02,-3.195988181365664406e-05
9.995784586143908745e-01,7.960304812069299415e-05,2.903269578858555175e-02,-3.623093657883187462e-05
9.995779833603813946e-01,7.874147620418738100e-05,2.904905436135064162e-02,-3.770523001220742003e-05
9.995776013382647873e-01,7.933518849170690117e-05,2.906219219739793885e-02,-3.991804732016770172e-05
9.995772169006589269e-01,8.203414408780926445e-05,2.907540433064812260e-02,-3.983141649116081273e-05
9.995768826944051444e-01,8.140917115128794529e-05,2.908689679242471710e-02,-3.728899408603523558e-05
9.995765440161071824e-01,8.021582818290062583e-05,2.909853713232296579e-02,-3.681025746873970290e-05
9.995761458210759010e-01,8.171290640633043737e-05,2.911220442773368097e-02,-3.977237771941076006e-05
9.995757467792840689e-01,8.095928922995915115e-05,2.912590520883909587e-02,-3.926825670922982561e-05
9.995752877709978002e-01,8.015678892614858098e-05,2.914165456071681620e-02,-4.027257230704530446e-05
9.995748975907640110e-01,8.089619112466603997e-05,2.915502881633854140e-02,-4.309221110379439138e-05
9.995743979314689609e-01,8.209030489675969017e-05,2.917215158935598796e-02,-4.281087454858871749e-05
9.995739315535713265e-01,8.212906691467292564e-05,2.918812634581813628e-02,-4.351750611841326234e-05
9.995735106369808554e-01,8.509704470772580466e-05,2.920252505289597580e-02,-4.606397414847461671e-05
9.995731736738174833e-01,8.825119088366466138e-05,2.921404353693983838e-02,-4.841076061918597485e-05
9.995726933190117736e-01,8.285482808385456928e-05,2.923048782916176994e-02,-4.987307350508769267e-05
9.995722202211917429e-01,8.227496745029856163e-05,2.924666830502116802e-02,-4.675428626613129657e-05
9.995716938066526724e-01,8.293250585359429443e-05,2.926465002126720991e-02,-4.818538775786687200e-05
9.995712405866642447e-01,8.210630714389338387e-05,2.928012962198824759e-02,-4.753852053947155073e-05
9.995708862727532562e-01,8.329409899585843229e-05,2.929221606553638821e-02,-4.955770152878879553e-05
9.995704936157739917e-01,8.420920689833146801e-05,2.930561004566900260e-02,-4.920750407957572015e-05
9.995700657962958147e-01,8.472586490253068443e-05,2.932018880732867316e-02,-5.397980614036066842e-05
9.995697109235275324e-01,8.653595703397466287e-05,2.933228038161623391e-02,-5.332352429696098040e-05
9.995692442600752070e-01,8.698576534364271763e-05,2.934817812270307594e-02,-5.294994550170876410e-05
9.995688449686221944e-01,8.600632513117047043e-05,2.936177982234743425e-02,-5.154290012210195837e-05
9.995683701004793864e-01,8.609889778824103589e-05,2.937794333100532396e-02,-5.027217270542478614e-05
9.995680197670805400e-01,8.599220021379894901e-05,2.938986133265642994e-02,-5.015083333766371244e-05
9.995675084492030571e-01,8.468688965035723031e-05,2.940725201458589677e-02,-4.908903855933923778e-05
9.995671711319270569e-01,8.323441268352664362e-05,2.941872009274622626e-02,-4.873863154496315569e-05
9.995667439949851296e-01,8.290098895913246399e-05,2.943323367798309290e-02,-4.671131598715407273e-05
9.995662604454852440e-01,8.358440177439464239e-05,2.944965065993240816e-02,-4.548278833868146678e-05
9.995658631367893010e-01,8.544966411544497079e-05,2.946312495526252559e-02,-4.709385339392385087e-05
9.995653639862550621e-01,8.606630731804363840e-05,2.948005264907921016e-02,-4.698322781414488212e-05
9.995649432507023313e-01,8.537710751596294916e-05,2.949431896677510989e-02,-4.564708177179391767e-05
9.995645074377907946e-01,8.555546214808197299e-05,2.950908598592484958e-02,-4.466749250780434642e-05
9.995641972151361188e-01,8.801287136544365039e-05,2.951958848581740652e-02,-4.236771214181397324e-05
9.995637566387254314e-01,8.899164248236277823e-05,2.953449754884063250e-02,-4.415092556445569463e-05
9.995633609742209380e-01,8.843058467581731521e-05,2.954788773444032637e-02,-4.368505416285254706e-05
9.995628849694346840e-01,8.808075419250510293e-05,2.956398568318896469e-02,-4.454083455199596777e-05
9.995624664657607461e-01,8.705723593138112474e-05,2.957813729569172198e-02,-4.298883209485740203e-05
9.995621481883931736e-01,8.825099229627339265e-05,2.958888919566091819e-02,-4.191579758166302165e-05
9.995617407685059019e-01,8.796327956575914452e-05,2.960264296083472274e-02,-4.673359783309625446e-05
9.995613251552147860e-01,8.885840085280707890e-05,2.961667397158559284e-02,-4.450838587882681132e-05
9.995609625144007415e-01,9.131256407984001647e-05,2.962889995122995959e-02,-4.655083995063577127e-05
9.995605845660723299e-01,9.106196713153097552e-05,2.964164734583482272e-02,-4.724696000492161450e-05
9.995601354603306232e-01,9.129205366148959180e-05,2.965678957746976929e-02,-4.578476054315989746e-05
9.995597463048285780e-01,9.119527203731251372e-05,2.966990296567423302e-02,-4.591793477152755884e-05
9.995593642426908731e-01,9.009411397696144943e-05,2.968277579484011539e-02,-4.537523202982850213e-05
9.995589421475383762e-01,9.019533058746115979e-05,2.969698549613125974e-02,-4.571803920377196808e-05
9.995584481220538553e-01,9.355570835948486008e-05,2.971359618409081735e-02,-4.729661510134712434e-05
9.995580437443831734e-01,9.598425387149413387e-05,2.972718358264747271e-02,-5.029084075601043347e-05
9.995576439818721903e-01,9.375880024826517480e-05,2.974063194410577621e-02,-4.876742414987345639e-05
9.995571590436252984e-01,9.439677462035785658e-05,2.975692509733391874e-02,-4.798580500193728386e-05
9.995566853960637932e-01,9.659963280412144169e-05,2.977281956852968064e-02,-5.063087052387453096e-05
9.995562610467956244e-01,9.707696115170681185e-05,2.978706038206030762e-02,-5.110782140347075073e-05
9.995559307243533365e-01,9.842994406444074669e-05,2.979813783076360953e-02,-5.145033282090169475e-05
9.995554789230460813e-01,9.944174576433841158e-05,2.981328862694901383e-02,-4.987489923736315148e-05
9.995549546052419077e-01,1.013492343853882223e-04,2.983085190845772075e-02,-5.221935729715114429e-05
9.995546161425638010e-01,9.858599366813736132e-05,2.984220040871727458e-02,-5.199672936122147861e-05
9.995541738578384017e-01,1.007939143365289164e-04,2.985699988989907669e-02,-5.405123066045210465e-05
9.995537779479294338e-01,1.005808134830590747e-04,2.987025280115591236e-02,-5.358280024480476444e-05
9.995533521846106106e-01,1.016558633930846761e-04,2.988449764422945396e-02,-5.102102998035181749e-05
