accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
9.999997860023203344e+00,-1.714252458839622425e-06,-9.780270495313608592e+00
9.999993339821260818e+00,6.742227149251504117e-06,-9.780259999147016714e+00
1.000000142948181825e+01,4.009127222765306697e-07,-9.780260481619075463e+00
1.000000194389242125e+01,-6.691793592148984284e-06,-9.780258186727589731e+00
9.999998128732046965e+00,-5.044777481269809972e-06,-9.780260616910121385e+00
9.999999389713778442e+00,2.415008591055139405e-06,-9.780270224676518964e+00
9.999995675324825584e+00,-7.774535295191833142e-06,-9.780261375514179178e+00
1.000000197925370493e+01,3.995902996876250081e-06,-9.780263270328381608e+00
1.000000558509477955e+01,-2.000528942485695370e-06,-9.780256837486520638e+00
1.000000418131141267e+01,1.888633103861842813e-06,-9.780257394722735143e+00
1.000000746049027889e+01,4.100049412156605183e-06,-9.780263035277197758e+00
1.000000440635880672e+01,1.853763994082088908e-06,-9.780262825860084774e+00
1.000000719899960622e+01,3.527431665733221663e-06,-9.780261040272975492e+00
1.000000243711579095e+01,5.516124988914987879e-06,-9.780264958365005867e+00
9.999997952837714976e+00,-4.053979847304323601e-06,-9.780256907187030890e+00
9.999998643674887333e+00,-5.385728605720467016e-06,-9.780256617773025241e+00
1.000000231694764707e+01,-3.384929674323965801e-06,-9.780257376655802304e+00
1.000000593895420309e+01,-1.224613475706667899e-06,-9.780263339397471611e+00
9.999998965876590873e+00,-4.007317677003351931e-06,-9.780260286599760988e+00
1.000000916046237265e+01,2.792752433491466623e-06,-9.780254639843141362e+00
9.999999093121596516e+00,5.105336372478528163e-06,-9.780258271963248262e+00
9.999996418391155828e+00,-3.729357003456141872e-06,-9.780245092740790014e+00
9.999996841546407111e+00,-6.054809272695571385e-08,-9.780247386561500278e+00
9.999998727424149081e+00,7.922445879616422972e-06,-9.780251144626625148e+00
9.999990760987559568e+00,5.525720761198544223e-06,-9.780254246118117223e+00
9.999988993905274626e+00,2.033797407531701988e-06,-9.780241160599082662e+00
1.000000204298977380e+01,1.086976318366903538e-06,-9.780251634062560484e+00
1.000000302847140787e+01,-3.488681951509367510e-06,-9.780245961119168996e+00
9.999992658827908443e+00,-3.241495108066326330e-06,-9.780243319696975135e+00
9.999995593749114065e+00,-3.018501816898603496e-06,-9.780243950591257729e+00
1.000000535669888713e+01,-4.200612766175752561e-07,-9.780247461763281080e+00
1.000000435139878086e+01,2.210537720714504142e-07,-9.780250213586953123e+00
1.000000114776009674e+01,-1.425179398382700015e-06,-9.780245080621661202e+00
1.000000395490685889e+01,5.118163873997586383e-06,-9.780245914328761003e+00
1.000000247080759408e+01,-2.528098331388373467e-06,-9.780247376937191817e+00
9.999995203456206738e+00,2.490506185721723326e-06,-9.780240098103393009e+00
1.000000633006558104e+01,4.670217330233006650e-06,-9.780237877352698561e+00
1.000000004684388522e+01,4.169996190331130419e-06,-9.780239244953376598e+00
1.000000024282069688e+01,9.791444831018188407e-07,-9.780241177935833363e+00
1.000000188523469546e+01,-9.485456579924809420e-06,-9.780242733897921426e+00
1.000000511724174501e+01,-2.529862187272276480e-06,-9.780243169407183856e+00
9.999999949362976537e+00,7.695677764721590844e-06,-9.780243257347230212e+00
9.999999536352444096e+00,-4.493245644928684811e-06,-9.780237088198109774e+00
9.999996822633168136e+00,-1.461364587822231261e-06,-9.780237937122397085e+00
9.999997320552637348e+00,3.761806716668363562e-06,-9.780237778715218155e+00
9.999997564701017083e+00,3.766708314871230306e-06,-9.780239559044645148e+00
1.000000193285071859e+01,6.923846061808242017e-06,-9.780232002939090563e+00
9.999995446235976360e+00,-5.027698402032535464e-06,-9.780231932087916746e+00
1.000000185215717075e+01,3.852864246875454392e-06,-9.780228498994160802e+00
9.999999855478751698e+00,-5.325686522435378451e-07,-9.780237780784771573e+00
1.000000609588958334e+01,-3.700875352115158745e-06,-9.780226825374604971e+00
9.999994905237034715e+00,-3.012766941554623216e-06,-9.780236205772871116e+00
1.000000233390851889e+01,-3.607509395526700086e-07,-9.780235181429306479e+00
9.999994554178721629e+00,2.946531232131186640e-06,-9.780229518822897816e+00
9.999999245605044607e+00,-3.191816019581883009e-07,-9.780224370292026848e+00
9.999996852820981275e+00,-1.274942928813825590e-06,-9.780226647757739755e+00
9.999998402500066774e+00,-2.090018985791852610e-06,-9.780226849563412372e+00
1.000000153187092344e+01,6.504425483552591739e-06,-9.780227424493494581e+00
9.999997179153476523e+00,-6.187536757451900421e-06,-9.780225920222841651e+00
9.999996438123654130e+00,4.718799371909496522e-06,-9.780224029696942267e+00
9.999997957137995996e+00,2.099999505071245227e-06,-9.780216057444876654e+00
9.999994972622074485e+00,-5.630354084520426579e-06,-9.780225049634518442e+00
1.000000055920249942e+01,-1.815327059037888858e-06,-9.780218745747115250e+00
1.000000263661817357e+01,-2.266759539189350746e-06,-9.780217543960509019e+00
1.000000395286152610e+01,-4.409266264144346156e-06,-9.780218610011035096e+00
9.999999307709764196e+00,-3.802937204797493703e-06,-9.780217101477466812e+00
9.999995696066831030e+00,2.807105710940638079e-06,-9.780216799316807652e+00
9.999996704213621967e+00,-4.413314391640568624e-06,-9.780213631489678150e+00
9.999995897607034223e+00,1.948175002242526914e-07,-9.780216022309749846e+00
9.999998879536081020e+00,-9.286011122508095269e-07,-9.780213670836102935e+00
9.999998054812863302e+00,1.624522607365150211e-06,-9.780219830275134640e+00
9.999998787842448777e+00,-6.314140789537341478e-07,-9.780211900588096086e+00
1.000000059328401214e+01,-6.994158675861698483e-06,-9.780208687541129819e+00
9.999998556498452373e+00,3.526871275734972336e-06,-9.780206201072399352e+00
1.000000051414970592e+01,5.354107266277424473e-06,-9.780213108639056685e+00
1.000000043382096671e+01,-1.333297123584497045e-06,-9.780220746733572668e+00
9.999993556806414219e+00,5.367693424001717939e-06,-9.780206813380830866e+00
9.999996503628704403e+00,-3.851076919331206067e-06,-9.780215666599584523e+00
1.000000049480266284e+01,6.283458392987805491e-06,-9.780204036997149686e+00
1.000000853726864491e+01,-3.979009601446703929e-06,-9.780200367813318252e+00
1.000000345074380981e+01,2.113709594767212853e-06,-9.780205207304796033e+00
1.000000347613287488e+01,2.874699496255159839e-06,-9.780207621655454986e+00
1.000000014257535952e+01,-5.726378965789746163e-06,-9.780197816511021713e+00
1.000000629051643131e+01,-2.120974882783655660e-07,-9.780203339863046352e+00
1.000000436145065663e+01,-2.244919835270873882e-07,-9.780193207471057804e+00
9.999998643934929987e+00,5.465540434547505523e-06,-9.780205051028243446e+00
9.999996097019803187e+00,1.553533542165367459e-06,-9.780205483556359880e+00
9.999995437224020733e+00,-1.991730739296156747e-07,-9.780196884585343753e+00
9.999993876196183962e+00,8.360237713586272080e-06,-9.780200938240669828e+00
9.999993008559874497e+00,3.139159927799156905e-06,-9.780201990553429425e+00
9.999996990336004643e+00,6.552190550159822782e-06,-9.780196165053292034e+00
9.999999225243378476e+00,-1.249899707216166393e-06,-9.780197975054393922e+00
9.999998441258524551e+00,2.233572945703319935e-07,-9.780196687551068635e+00
1.000000067555467353e+01,-5.704324630199550317e-06,-9.780193669809230883e+00
1.000000085292753127e+01,-9.887895673004871809e-09,-9.780196098936816185e+00
9.999992737374528318e+00,1.175302013239987720e-06,-9.780199121537018314e+00
1.000000017325556279e+01,7.549494270438127856e-07,-9.780196629118915297e+00
1.000000167954966912e+01,-4.515489603897759089e-06,-9.780187579627831695e+00
9.999998338940608633e+00,-8.306173697487613965e-07,-9.780189041833420305e+00
1.000000492264864427e+01,2.292357966201671399e-06,-9.780187087972469939e+00
1.000000710134672488e+01,8.162583571121702762e-06,-9.780189382858313962e+00
9.999993898659024438e+00,2.625253809870706809e-06,-9.780186956922284125e+00
9.999997303615737465e+00,-5.872195815375103498e-06,-9.780185423359260000e+00
9.999999414377137796e+00,-1.758218517958668605e-06,-9.780189853259342314e+00
9.999999173858727275e+00,-5.734638414268103631e-06,-9.780187509070385588e+00
9.999997954908602438e+00,-7.307843834778177766e-06,-9.780180697002050394e+00
