ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
9.999998891179023630e+00,-3.287156495507846140e-09,-9.780293508588284723e+00
9.999999002061121800e+00,-3.357050050846237736e-09,-9.780293058737923317e+00
9.999999101855010508e+00,-3.427928865634359415e-09,-9.780292605730711131e+00
9.999999191669509457e+00,-3.499799845881689213e-09,-9.780292149566649940e+00
9.999999272502558156e+00,-3.572669897598822686e-09,-9.780291690245737968e+00
9.999999345252302163e+00,-3.646545926797380681e-09,-9.780291227767980544e+00
9.999999410727072657e+00,-3.721434839489925375e-09,-9.780290762133375893e+00
9.999999469654365924e+00,-3.797343541689889140e-09,-9.780290293341922236e+00
9.999999522688929332e+00,-3.874278939411501751e-09,-9.780289821393621352e+00
9.999999570420037287e+00,-3.952247938669721729e-09,-9.780289346288471464e+00
9.999999613378033558e+00,-4.031257445480183398e-09,-9.780288868026477900e+00
9.999999652040230558e+00,-4.111314365859139819e-09,-9.780288386607638884e+00
9.999999686836208213e+00,-4.192425605823409840e-09,-9.780287902031949088e+00
9.999999718152587036e+00,-4.274598071390335088e-09,-9.780287414299415616e+00
9.999999746337328688e+00,-4.357838668577734475e-09,-9.780286923410034916e+00
9.999999771703595997e+00,-4.442154303403864490e-09,-9.780286429363808764e+00
9.999999794533236397e+00,-4.527551881887387768e-09,-9.780285932160738938e+00
9.999999815079913645e+00,-4.614038310047335867e-09,-9.780285431800816554e+00
9.999999833571923347e+00,-4.701620493903077006e-09,-9.780284928284052270e+00
9.999999850214731367e+00,-4.790305339474291253e-09,-9.780284421610440759e+00
9.999999865193258231e+00,-4.880099752780944053e-09,-9.780283911779985573e+00
9.999999878673932585e+00,-4.971010639843263893e-09,-9.780283398792684935e+00
9.999999890806540392e+00,-5.063044906681714180e-09,-9.780282882648538845e+00
9.999999901725885820e+00,-5.156209459316983316e-09,-9.780282363347545527e+00
9.999999911553297594e+00,-5.250511203769957396e-09,-9.780281840889706757e+00
9.999999920397968367e+00,-5.345957046061704496e-09,-9.780281315275024312e+00
9.999999928358171530e+00,-5.442553892213468884e-09,-9.780280786503496415e+00
9.999999935522355443e+00,-5.540308648246641234e-09,-9.780280254575123067e+00
9.999999941970120432e+00,-5.639228220182759463e-09,-9.780279719489902490e+00
9.999999947773108744e+00,-5.739319514043487216e-09,-9.780279181247838238e+00
9.999999952995798580e+00,-5.840589435850609735e-09,-9.780278639848928535e+00
9.999999957696218189e+00,-5.943044891626018141e-09,-9.780278095293175156e+00
9.999999961926596015e+00,-6.046692787391704472e-09,-9.780277547580574549e+00
9.999999965733936236e+00,-6.151540029169752581e-09,-9.780276996711130266e+00
9.999999969160542790e+00,-6.257593522982327386e-09,-9.780276442684840532e+00
9.999999972244488333e+00,-6.364860174851669078e-09,-9.780275885501705346e+00
9.999999975020040566e+00,-6.473346890800093122e-09,-9.780275325161726485e+00
9.999999977518037042e+00,-6.583060576849972058e-09,-9.780274761664898620e+00
9.999999979766233338e+00,-6.694008139023738811e-09,-9.780274195011232408e+00
9.999999981789610359e+00,-6.806196483343880897e-09,-9.780273625200717191e+00
9.999999983610649679e+00,-6.919632515832931332e-09,-9.780273052233354747e+00
9.999999985249585777e+00,-7.034323142513471103e-09,-9.780272476109148627e+00
9.999999986724628087e+00,-7.150275269408119252e-09,-9.780271896828102385e+00
9.999999988052165278e+00,-7.267495802539533695e-09,-9.780271314390207138e+00
9.999999989246948218e+00,-7.385991647930404611e-09,-9.780270728795466439e+00
9.999999990322253396e+00,-7.505769711603456917e-09,-9.780270140043883842e+00
9.999999991290028589e+00,-7.626836899581437040e-09,-9.780269548135452240e+00
9.999999992161026086e+00,-7.749200117887123666e-09,-9.780268953070178739e+00
9.999999992944923477e+00,-7.872866272543315332e-09,-9.780268354848059786e+00
9.999999993650432017e+00,-7.997842269572833738e-09,-9.780267753469095382e+00
9.999999994285388993e+00,-8.124135014998520435e-09,-9.780267148933283750e+00
9.999999994856850094e+00,-8.251751414843235173e-09,-9.780266541240630218e+00
9.999999995371165795e+00,-8.380698375129854245e-09,-9.780265930391131235e+00
9.999999995834048860e+00,-8.510982801881265524e-09,-9.780265316384786800e+00
9.999999996250643619e+00,-8.642611601120373428e-09,-9.780264699221600466e+00
9.999999996625579257e+00,-8.775591678870095609e-09,-9.780264078901565128e+00
9.999999996963021331e+00,-8.909929941153357991e-09,-9.780263455424684338e+00
9.999999997266719731e+00,-9.045633293993099732e-09,-9.780262828790963425e+00
9.999999997540047758e+00,-9.182708643412271572e-09,-9.780262199000395285e+00
9.999999997786042982e+00,-9.321162895433824250e-09,-9.780261566052981692e+00
9.999999998007439217e+00,-9.461002956080728359e-09,-9.780260929948724424e+00
9.999999998206694940e+00,-9.602235731375951180e-09,-9.780260290687619928e+00
9.999999998386025268e+00,-9.744868127342474886e-09,-9.780259648269673534e+00
9.999999998547423274e+00,-9.888907050003278341e-09,-9.780259002694879911e+00
9.999999998692681302e+00,-1.003435940538135530e-08,-9.780258353963244389e+00
9.999999998823414060e+00,-1.018123209949969620e-08,-9.780257702074761639e+00
9.999999998941072832e+00,-1.032953203838130307e-08,-9.780257047029433437e+00
9.999999999046965016e+00,-1.047926612804917959e-08,-9.780256388827261560e+00
9.999999999142268337e+00,-1.063044127452632778e-08,-9.780255727468244231e+00
9.999999999228041503e+00,-1.078306438383576456e-08,-9.780255062952383227e+00
9.999999999305238418e+00,-1.093714236200049857e-08,-9.780254395279676771e+00
9.999999999374715287e+00,-1.109268211504354673e-08,-9.780253724450124864e+00
9.999999999437244824e+00,-1.124969054898792924e-08,-9.780253050463729281e+00
9.999999999493519809e+00,-1.140817456985666800e-08,-9.780252373320486470e+00
9.999999999544167295e+00,-1.156814108367278488e-08,-9.780251693020401760e+00
9.999999999589750388e+00,-1.172959699645930838e-08,-9.780251009563471598e+00
9.999999999630775349e+00,-1.189254921423925870e-08,-9.780250322949695985e+00
9.999999999667698702e+00,-1.205700464303566767e-08,-9.780249633179074920e+00
9.999999999700929010e+00,-1.222297018887156708e-08,-9.780248940251610179e+00
9.999999999730835754e+00,-1.239045275776999370e-08,-9.780248244167301763e+00
9.999999999757752889e+00,-1.255945925575396775e-08,-9.780247544926146119e+00
